=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.02 17:40:07 =~=~=~=~=~=~=~=~=~=~=~=
= RX Location: 3 inches away from the center of the TX (along the Z)
= Tone Frequency: 6Hz
= Baud Rate: 1 S/s
= Bit Rate: 0.5 b/s
= Sampling Frequency: 16Hz
= Encoding: Differential Manchester
=     0: Two state Changes
=     1: One State Change
=     The Two States are TONE and NO_TONE
= Columns(7):
=     sample_num: Chronological Index of Samples
=     x: Reading From the sensor on the X axis
=     y: Reading From the sensor on the Y axis
=     bit_num: Chronological Index of the Bits Sent
=     bit: The Bit Sent, 1 or 0
=     sym_num: Chronological Index of the Symbol
=     sym: The Actual Symbol, TONE(1) or NO_TONE(0)
=~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~
sample_num,x,y,bit_num,bit,sym_num,sym
596,-46,35,9,0,18,0
597,-41,39,9,0,18,0
598,-48,38,9,0,18,0
599,-42,37,9,0,18,0
600,-47,40,9,0,18,0
601,-48,43,9,0,18,0
602,-44,44,9,0,18,0
603,-45,39,9,0,18,0
604,-47,41,9,0,18,0
605,-48,44,9,0,18,0
606,-43,34,9,0,18,0
607,-47,41,9,0,18,0
608,-150,48,9,0,19,1
609,-144,48,9,0,19,1
610,-148,44,9,0,19,1
611,-43,37,9,0,19,1
612,-44,39,9,0,19,1
613,-44,38,9,0,19,1
614,-144,47,9,0,19,1
615,-147,48,9,0,19,1
616,-50,39,9,0,19,1
617,-46,40,9,0,19,1
618,-48,38,9,0,19,1
619,-143,46,9,0,19,1
620,-144,53,9,0,19,1
621,-142,49,9,0,19,1
622,-47,33,9,0,19,1
623,-47,38,9,0,19,1
624,-139,48,9,0,19,1
625,-143,47,9,0,19,1
626,-145,45,9,0,19,1
627,-50,40,9,0,19,1
628,-49,38,9,0,19,1
629,-46,37,9,0,19,1
630,-151,45,9,0,19,1
631,-145,47,9,0,19,1
632,-47,42,9,0,19,1
633,-48,39,9,0,19,1
634,-46,39,9,0,19,1
635,-148,48,9,0,19,1
636,-144,51,9,0,19,1
637,-147,44,9,0,19,1
638,-46,41,9,0,19,1
639,-52,41,9,0,19,1
640,-133,43,10,1,20,1
641,-140,44,10,1,20,1
642,-147,48,10,1,20,1
643,-47,39,10,1,20,1
644,-46,37,10,1,20,1
645,-50,40,10,1,20,1
646,-149,47,10,1,20,1
647,-149,48,10,1,20,1
648,-147,47,10,1,20,1
649,-52,40,10,1,20,1
650,-49,39,10,1,20,1
651,-142,47,10,1,20,1
652,-145,45,10,1,20,1
653,-147,47,10,1,20,1
654,-46,41,10,1,20,1
655,-50,40,10,1,20,1
656,-46,39,10,1,20,1
657,-148,47,10,1,20,1
658,-148,48,10,1,20,1
659,-48,43,10,1,20,1
660,-48,39,10,1,20,1
661,-48,39,10,1,20,1
662,-139,47,10,1,20,1
663,-145,47,10,1,20,1
664,-147,51,10,1,20,1
665,-46,39,10,1,20,1
666,-46,39,10,1,20,1
667,-141,49,10,1,20,1
668,-146,44,10,1,20,1
669,-146,49,10,1,20,1
670,-46,40,10,1,20,1
671,-45,37,10,1,20,1
672,-44,40,10,1,21,0
673,-47,39,10,1,21,0
674,-46,41,10,1,21,0
675,-44,41,10,1,21,0
676,-45,41,10,1,21,0
677,-45,37,10,1,21,0
678,-41,38,10,1,21,0
679,-45,37,10,1,21,0
680,-45,39,10,1,21,0
681,-45,36,10,1,21,0
682,-44,35,10,1,21,0
683,-43,37,10,1,21,0
684,-45,41,10,1,21,0
685,-43,42,10,1,21,0
686,-42,37,10,1,21,0
687,-46,41,10,1,21,0
688,-46,42,10,1,21,0
689,-45,34,10,1,21,0
690,-45,41,10,1,21,0
691,-43,38,10,1,21,0
692,-46,38,10,1,21,0
693,-43,38,10,1,21,0
694,-43,39,10,1,21,0
695,-44,43,10,1,21,0
696,-48,38,10,1,21,0
697,-44,37,10,1,21,0
698,-46,40,10,1,21,0
699,-43,35,10,1,21,0
700,-46,41,10,1,21,0
701,-49,36,10,1,21,0
702,-44,38,10,1,21,0
703,-45,36,10,1,21,0
704,-42,41,11,1,22,0
705,-48,41,11,1,22,0
706,-46,42,11,1,22,0
707,-43,46,11,1,22,0
708,-39,42,11,1,22,0
709,-43,42,11,1,22,0
710,-42,42,11,1,22,0
711,-45,41,11,1,22,0
712,-44,41,11,1,22,0
713,-44,40,11,1,22,0
714,-44,42,11,1,22,0
715,-43,42,11,1,22,0
716,-39,41,11,1,22,0
717,-47,42,11,1,22,0
718,-43,40,11,1,22,0
719,-45,41,11,1,22,0
720,-41,37,11,1,22,0
721,-40,39,11,1,22,0
722,-47,42,11,1,22,0
723,-46,36,11,1,22,0
724,-51,41,11,1,22,0
725,-43,37,11,1,22,0
726,-47,39,11,1,22,0
727,-45,39,11,1,22,0
728,-44,38,11,1,22,0
729,-47,36,11,1,22,0
730,-43,39,11,1,22,0
731,-47,37,11,1,22,0
732,-45,39,11,1,22,0
733,-48,42,11,1,22,0
734,-40,40,11,1,22,0
735,-40,37,11,1,22,0
736,-144,44,11,1,23,1
737,-147,47,11,1,23,1
738,-150,48,11,1,23,1
739,-49,39,11,1,23,1
740,-46,40,11,1,23,1
741,-140,49,11,1,23,1
742,-144,49,11,1,23,1
743,-143,48,11,1,23,1
744,-45,42,11,1,23,1
745,-47,41,11,1,23,1
746,-50,41,11,1,23,1
